route_id,service_id,trip_id,trip_headsign,direction_id,block_id
234088,1_396994,37148498_396994,Sędzisław,,25400/60461
234088,2_396995,37148499_396995,Sędzisław,,25400/60461
234088,3_396996,37148500_396996,Sędzisław,,25400/60461
234088,4_396997,37148501_396997,Sędzisław,,25402/60463
234088,5_396998,37148502_396998,Sędzisław,,25402/60463
234088,6_397000,37148504_397000,Sędzisław,,25404/60465
234088,7_397001,37148505_397001,Sędzisław,,25404/60465
234088,8_397002,37148506_397002,Sędzisław,,25404/60465
234088,9_397003,37148507_397003,Sędzisław,,25404/60465
234088,10_397004,37148508_397004,Sędzisław,,25406/60465
234088,11_397005,37148509_397005,Sędzisław,,25406/60465
234088,12_397006,37148510_397006,Sędzisław,,25406/60467
234088,13_397007,37148511_397007,Sędzisław,,25408/60467
234088,14_397008,37148512_397008,Sędzisław,,25408/60469
234088,15_397009,37148513_397009,Sędzisław,,25410/60469
234088,16_397010,37148514_397010,Sędzisław,,25410/60469
234088,17_397011,37148515_397011,Sędzisław,,25410/60471
234088,18_397012,37148516_397012,Sędzisław,,25412/60471
234088,19_397013,37148517_397013,Sędzisław,,25412/60473
234088,20_397015,37148519_397015,Sędzisław,,25414/60473
234088,21_397016,37148520_397016,Sędzisław,,25414/60473
234088,22_397017,37148521_397017,Sędzisław,,25414/60473
234088,23_397018,37148522_397018,Sędzisław,,25416/60473
234088,24_397019,37148523_397019,Sędzisław,,25416/60473
234088,25_397020,37148524_397020,Sędzisław,,25424/60465
234089,26_397021,37148525_397021,Szklarska Poręba Górna,,2650
234089,27_397022,37148526_397022,Szklarska Poręba Górna,,2650
234089,28_397023,37148527_397023,Szklarska Poręba Górna,,2650
234089,29_397024,37148528_397024,Liberec,,2651
234089,30_397026,37148530_397026,Harrachov,,2651
234089,31_397027,37148531_397027,Harrachov,,2651
234089,32_397028,37148532_397028,Szklarska Poręba Górna,,2652
234089,33_397029,37148533_397029,Szklarska Poręba Górna,,2652
234089,34_397030,37148534_397030,Szklarska Poręba Górna,,2652
234089,35_397031,37148535_397031,Liberec,,2653
234089,36_397033,37148537_397033,Harrachov,,2653
234089,37_397034,37148538_397034,Harrachov,,2653
234089,38_397035,37148539_397035,Szklarska Poręba Górna,,2654
234089,39_397036,37148540_397036,Szklarska Poręba Górna,,2654
234089,40_397037,37148541_397037,Szklarska Poręba Górna,,2654
234089,41_397038,37148542_397038,Liberec,,2655
234089,42_397040,37148544_397040,Harrachov,,2655
234089,43_397041,37148545_397041,Harrachov,,2655
234089,44_397042,37148546_397042,Szklarska Poręba Górna,,2656
234089,45_397043,37148547_397043,Szklarska Poręba Górna,,2656
234089,46_397044,37148548_397044,Szklarska Poręba Górna,,2656
234089,47_397045,37148549_397045,Liberec,,2657
234089,48_397047,37148551_397047,Harrachov,,2657
234089,49_397048,37148552_397048,Harrachov,,2657
234089,50_397049,37148553_397049,Szklarska Poręba Górna,,2658
234089,51_397050,37148554_397050,Szklarska Poręba Górna,,2658
234089,52_397051,37148555_397051,Szklarska Poręba Górna,,2658
234089,53_397052,37148556_397052,Liberec,,2659
234089,54_397054,37148558_397054,Harrachov,,2659
234089,55_397055,37148559_397055,Harrachov,,2659
234089,56_397056,37148560_397056,Szklarska Poręba Górna,,2660
234089,57_397057,37148561_397057,Szklarska Poręba Górna,,2660
234089,58_397058,37148562_397058,Szklarska Poręba Górna,,2660
234089,59_397059,37148563_397059,Liberec,,2661
234089,60_397061,37148565_397061,Harrachov,,2661
234089,61_397062,37148566_397062,Harrachov,,2661
234089,62_397063,37148567_397063,Szklarska Poręba Górna,,2662
234089,63_397064,37148568_397064,Szklarska Poręba Górna,,2662
234089,64_397065,37148569_397065,Szklarska Poręba Górna,,2662
234089,65_397066,37148570_397066,Liberec,,2663
234089,66_397068,37148572_397068,Harrachov,,2663
234089,67_397069,37148573_397069,Harrachov,,2663
234089,68_397070,37148574_397070,Szklarska Poręba Górna,,2664
234089,69_397071,37148575_397071,Szklarska Poręba Górna,,2664
234089,70_397072,37148576_397072,Szklarska Poręba Górna,,2664
234089,71_397073,37148577_397073,Liberec,,2665
234089,72_397075,37148579_397075,Harrachov,,2665
234089,73_397076,37148580_397076,Harrachov,,2665
234089,74_397077,37148581_397077,Szklarska Poręba Górna,,2666
234089,75_397078,37148582_397078,Szklarska Poręba Górna,,2666
234089,76_397079,37148583_397079,Szklarska Poręba Górna,,2666
234089,77_397080,37148584_397080,Liberec,,2667
234089,78_397082,37148586_397082,Harrachov,,2667
234089,79_397083,37148587_397083,Harrachov,,2667
234089,80_397084,37148588_397084,Szklarska Poręba Górna,,2668
234089,81_397085,37148589_397085,Szklarska Poręba Górna,,2668
234089,82_397086,37148590_397086,Szklarska Poręba Górna,,2668
234089,83_397087,37148591_397087,Liberec,,2669
234089,84_397089,37148593_397089,Harrachov,,2669
234089,85_397090,37148594_397090,Harrachov,,2669
234089,86_397091,37148595_397091,Szklarska Poręba Górna,,2670
234089,87_397092,37148596_397092,Szklarska Poręba Górna,,2670
234089,88_397093,37148597_397093,Szklarska Poręba Górna,,2670
234089,89_397094,37148598_397094,Liberec,,2671
234089,90_397096,37148600_397096,Harrachov,,2671
234089,91_397097,37148601_397097,Harrachov,,2671
234089,92_397098,37148602_397098,Szklarska Poręba Górna,,2672
234089,93_397099,37148603_397099,Szklarska Poręba Górna,,2672
234089,94_397100,37148604_397100,Szklarska Poręba Górna,,2672
234089,95_397101,37148605_397101,Liberec,,2673
234089,96_397103,37148607_397103,Harrachov,,2673
234089,97_397104,37148608_397104,Harrachov,,2673
234089,98_397106,37148610_397106,Harrachov,,2675
234089,99_397107,37148611_397107,Harrachov,,2675
234089,100_397108,37148612_397108,Harrachov,,2675
234089,101_397110,37148614_397110,Harrachov,,2677
234089,102_397111,37148615_397111,Harrachov,,2677
234089,103_397112,37148616_397112,Harrachov,,2677
234089,104_397113,37148617_397113,Harrachov,,2679
234090,105_397114,37148618_397114,Jelenia Góra,,5301/66860
234090,106_397115,37148619_397115,Jelenia Góra,,5301/66860
234090,107_397116,37148620_397116,Jelenia Góra,,5301/66860
234090,108_397117,37148621_397117,Jelenia Góra,,5303/66864
