route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
234113,279,D1,,2,F6C32F,000000
234091,279,D10,,2,F6C32F,000000
234097,279,D11,,2,F6C32F,000000
234126,279,D12,,2,F6C32F,000000
234107,279,D13,,2,F6C32F,000000
234092,279,D14,,2,F6C32F,000000
234120,279,D1/D62,,2,F6C32F,000000
234093,279,D2,,2,F6C32F,000000
234127,279,D20,,2,F6C32F,000000
234096,279,D3,,2,F6C32F,000000
234125,279,D30,,2,F6C32F,000000
234144,279,D31,,2,F6C32F,000000
234116,279,D3/D9,,2,F6C32F,000000
234098,279,D4,,2,F6C32F,000000
234102,279,D40,,2,F6C32F,000000
234099,279,D4/D8,,2,F6C32F,000000
234103,279,D5,,2,F6C32F,000000
234104,279,D5/D62,,2,F6C32F,000000
234111,279,D6,,2,F6C32F,000000
234112,279,D60,,2,F6C32F,000000
234089,279,D61,,2,F6C32F,000000
234090,279,D62,,2,F6C32F,000000
234121,279,D62/D1,,2,F6C32F,000000
234119,279,D62/D6,,2,F6C32F,000000
234123,279,D64,,2,F6C32F,000000
234088,279,D66,,2,F6C32F,000000
234131,279,D6/D62,,2,F6C32F,000000
234105,279,D6/D96,,2,F6C32F,000000
234118,279,D7,,2,F6C32F,000000
234132,279,D70,,2,F6C32F,000000
234110,279,D71,,2,F6C32F,000000
234137,279,D7/D80,,2,F6C32F,000000
234128,279,D7/D83,,2,F6C32F,000000
234114,279,D8,,2,F6C32F,000000
234109,279,D80,,2,F6C32F,000000
234135,279,D80/D7,,2,F6C32F,000000
234117,279,D81,,2,F6C32F,000000
234129,279,D83,,2,F6C32F,000000
234136,279,D83/D7,,2,F6C32F,000000
234101,279,D8/D4,,2,F6C32F,000000
234095,279,D9,,2,F6C32F,000000
234094,279,D90,,2,F6C32F,000000
234138,279,D91,,2,F6C32F,000000
234100,279,D91/D4,,2,F6C32F,000000
234115,279,D92,,2,F6C32F,000000
234106,279,D96,,2,F6C32F,000000
234108,279,D9/D3,,2,F6C32F,000000
234122,279,,D91/D64,2,F6C32F,000000
234124,279,,D64/D91,2,F6C32F,000000
234130,279,,KD Premium Nadmorski,2,F6C32F,000000
234133,279,,# Lubin ul. Kolejowa - Polkowice ul. Młyńska D.A. #,2,F6C32F,000000
234134,279,,# Polkowice ul. Młyńska D.A. - Lubin ul. Kolejowa #,2,F6C32F,000000
234139,279,,D91/D90,2,F6C32F,000000
234140,279,,D91/D40,2,F6C32F,000000
234141,279,,D40/D91,2,F6C32F,000000
234142,279,,D90/D91,2,F6C32F,000000
234143,279,,D8/D4/D91,2,F6C32F,000000
